"","nome","id","uf","populacao","pib","estado_id","codigo_ibg","Total_Julho","Extrema_Pobreza...3","Pobreza...4","Baixa_renda...5","Acima_de_1/2_min...6","Total_Agosto","Extrema_Pobreza...8","Pobreza...9","Baixa_renda...10","Acima_de_1/2_min...11","lat","long"
"1","Baldim",1400,"MG","7913","67482","11","3105004",3823,1683,617,974,549,3841,1691,612,982,556,-19.2633021015786,-43.863529796233
"2","Belo Horizonte",1411,"MG","2375151","51661760","11","3106200",471025,181792,54207,146854,88172,477215,184894,54253,148729,89339,-19.9023434028545,-43.9598591699123
"3","Betim",1417,"MG","378089","28297360","11","3106705",153152,90710,13594,33117,15731,154208,91227,13693,33323,15965,-19.9470149916431,-44.1990620774896
"4","Brumadinho",1442,"MG","33973","1419553","11","3109006",10959,3424,1327,3574,2634,10989,3401,1331,3614,2643,-20.1774997966842,-44.1230984482017
"5","Caeté",1455,"MG","40750","291204","11","3110004",10780,3596,2290,3165,1729,10822,3641,2278,3177,1726,-19.8678121947466,-43.6373460735778
"6","Capim Branco",1482,"MG","8881","71611","11","3112505",3383,1086,544,1237,516,3405,1082,539,1259,525,-19.5702920613105,-44.1683320013163
"7","Confins",1543,"MG","5936","1424974","11","3117876",2407,766,312,896,433,2428,760,321,917,430,-19.6422941345777,-43.9747756873447
"8","Contagem",1551,"MG","603442","18539693","11","3118601",157993,73878,18539,41100,24476,159999,74667,18611,41744,24977,-19.8868329159803,-44.0839651866128
"9","Esmeraldas",1616,"MG","60271","342774","11","3124104",33345,16486,5032,8110,3717,33497,16570,5021,8134,3772,-19.732827612627,-44.3077766759354
"10","Florestal",1635,"MG","6600","54388","11","3126000",2866,383,369,1137,977,2874,377,368,1151,978,-19.8687055787519,-44.442603991762
"11","Ibirité",1683,"MG","158954","1264788","11","3129806",67672,25301,12222,21537,8612,68346,25399,12302,21881,8764,-20.023152788853,-44.0681753660929
"12","Igarapé",1687,"MG","34851","412552","11","3130101",14314,7312,2269,3009,1724,14402,7326,2281,3034,1761,-20.0585388820137,-44.3215924418883
"13","Itaguara",1711,"MG","12372","117638","11","3132206",1792,505,156,528,603,4641,1293,504,1654,1190,-20.3716558702965,-44.5319229322252
"14","Itatiaiuçu",1726,"MG","9928","535608","11","3133709",4236,1566,545,1570,555,4261,1545,559,1593,564,-20.2092331296932,-44.4533627585092
"15","Jaboticatubas",1736,"MG","17134","108530","11","3134608",6035,2326,1187,1804,718,6100,2335,1183,1852,730,-19.4405702759099,-43.7182223012897
"16","Juatuba",1763,"MG","22202","879187","11","3136652",13442,7140,1205,3298,1799,13532,7160,1193,3360,1819,-19.9561211391218,-44.3545148196236
"17","Lagoa Santa",1775,"MG","52520","846448","11","3137601",15559,5723,2599,4710,2527,15687,5782,2585,4784,2536,-19.6279941716429,-43.8858319487307
"18","Mário Campos",1807,"MG","13192","85153","11","3140159",2039,898,180,496,465,5495,2559,612,1521,803,-20.0763689502267,-44.1758483643697
"19","Mateus Leme",1815,"MG","27856","415329","11","3140704",13091,5082,2084,4124,1801,13186,5138,2078,4151,1819,-20.0275907463913,-44.4370644618544
"20","Matozinhos",1821,"MG","33955","651035","11","3141108",13976,6294,1523,4404,1755,14085,6302,1535,4461,1787,-19.5239277225588,-44.0515795064331
"21","Nova Lima",1865,"MG","80998","4163071","11","3144805",20794,6000,2950,7997,3847,21112,6064,2946,8147,3955,-20.0740137492794,-43.9039839014338
"22","Nova União",1871,"MG","5555","47484","11","3136603",2735,1497,265,649,324,2768,1511,272,662,323,-19.6354021419112,-43.5724337112988
"23","Pedro Leopoldo",1922,"MG","58740","1050218","11","3149309",15947,5114,2403,5868,2562,16153,5181,2444,5928,2600,-19.6405437974686,-44.0530803280328
"24","Raposos",1973,"MG","15342","73718","11","3153905",3277,1368,450,1051,408,3286,1372,449,1058,407,-19.9812526654192,-43.7831816131562
"25","Ribeirão das Neves",1982,"MG","296317","1926219","11","3154606",108510,52039,14159,30097,12215,109515,52548,14162,30387,12418,-19.7792366912323,-44.0719177896061
"26","Rio Acima",1984,"MG","9090","101068","11","3154804",3273,836,453,1307,677,3301,867,446,1312,676,-20.1060016909081,-43.7722522919837
"27","Rio Manso",1989,"MG","5276","42694","11","3155306",1708,747,369,368,224,1708,744,377,367,220,-20.2670286227792,-44.3452883036509
"28","Sabará",2004,"MG","126269","1477868","11","3156700",38082,14241,6165,11724,5952,14543,5171,2031,3948,3393,-19.8511258628318,-43.7791456903672
"29","Santa Luzia",2020,"MG","202942","2099191","11","3157807",83970,49318,4762,20719,9171,84542,49453,4805,20991,9293,-19.7446933799914,-43.8367314912054
"30","São Joaquim de Bicas",2084,"MG","25537","364420","11","3162922",13954,7499,1616,3125,1714,5516,2784,562,1064,1106,-20.0702799117096,-44.2487877197386
"31","São José da Lapa",2086,"MG","19799","318046","11","3162955",9457,5615,539,2225,1078,9515,5636,543,2242,1094,-19.6962618482982,-43.9900158587091
"32","Sarzedo",2115,"MG","25814","331113","11","3165537",13067,3646,1487,4993,2941,13147,3684,1498,5014,2951,-20.0590950761156,-44.1210467252615
"33","Taquaraçu de Minas",2148,"MG","3794","37625","11","3168309",2122,1143,205,504,270,2152,1133,204,533,282,-19.6337566468545,-43.6859102922777
"34","Vespasiano",2189,"MG","104527","1314176","11","3171204",43793,23961,3517,11457,4858,44633,24363,3571,11683,5016,-19.7311449747702,-43.9449053863166
