"","nome","id","uf","populacao","pib","estado_id","codigo_ibg","Total_Julho","Perc_Sobre_Total_Julho","Extrema_Pobreza...4","Extrema_Pobreza_Perc...5","Pobreza...6","Pobreza_Perc...7","Baixa_renda_Perc...8","Baixa_renda__Perc","Acima_de_1/2_min...10","Acima_de_1/2_min_Perc...11","Total_Agosto","Perc_Sobre_Total_Agosto","Extrema_Pobreza...14","Extrema_Pobreza_Perc...15","Pobreza...16","Pobreza_Perc...17","Baixa_renda","Baixa_renda_Perc...19","Acima_de_1/2_min...20","Acima_de_1/2_min_Perc...21","lat","long"
"1","Baldim",1400,"MG","7913","67482","11","3105004",3823,0.280571093911688,1683,44.0230185718022,617,16.1391577295318,974,25.4773737902171,549,14.3604499084489,3841,0.284328123982163,1691,44.0249934912783,612,15.9333506899245,982,25.5662587867743,556,14.4753970320229,-19.2633021015786,-43.863529796233
"2","Belo Horizonte",1411,"MG","2375151","51661760","11","3106200",471025,34.5686632251511,181792,38.5949790350831,54207,11.508306353166,146854,31.1775383472215,88172,18.7191762645295,477215,35.3256041880104,184894,38.7443814632818,54253,11.368670305837,148729,31.1660362729587,89339,18.7209119579225,-19.9023434028545,-43.9598591699123
"3","Betim",1417,"MG","378089","28297360","11","3106705",153152,11.2398703046725,90710,59.2287400752194,13594,8.87614918512328,33117,21.6236157542833,15731,10.271494985374,154208,11.4151708781675,91227,59.1584094210417,13693,8.87956526250259,33323,21.6091253372069,15965,10.3528999792488,-19.9470149916431,-44.1990620774896
"4","Brumadinho",1442,"MG","33973","1419553","11","3109006",10959,0.804284231801776,3424,31.2437266173921,1327,12.1087690482708,3574,32.6124646409344,2634,24.0350396934027,10989,0.813455286237956,3401,30.949130949131,1331,12.1121121121121,3614,32.8874328874329,2643,24.0513240513241,-20.1774997966842,-44.1230984482017
"5","Caeté",1455,"MG","40750","291204","11","3110004",10780,0.791147369178131,3596,33.3580705009276,2290,21.2430426716141,3165,29.3599257884972,1729,16.038961038961,10822,0.801093193890906,3641,33.6444280170024,2278,21.0497135464794,3177,29.3568656440584,1726,15.9489927924598,-19.8678121947466,-43.6373460735778
"6","Capim Branco",1482,"MG","8881","71611","11","3112505",3383,0.248279364557479,1086,32.1016848950636,544,16.0804020100502,1237,36.5651788353532,516,15.252734259533,3405,0.252053439770702,1082,31.776798825257,539,15.8296622613803,1259,36.9750367107195,525,15.4185022026432,-19.5702920613105,-44.1683320013163
"7","Confins",1543,"MG","5936","1424974","11","3117876",2407,0.176650437626323,766,31.8238471125883,312,12.9621936019942,896,37.2247611134192,433,17.9891981719983,2428,0.179731498315202,760,31.3014827018122,321,13.2207578253707,917,37.7677100494234,430,17.7100494233937,-19.6422941345777,-43.9747756873447
"8","Contagem",1551,"MG","603442","18539693","11","3118601",157993,11.5951527178628,73878,46.7602995069402,18539,11.7340641673998,41100,26.0138107384504,24476,15.4918255872096,159999,11.8438467870404,74667,46.6671666697917,18611,11.6319476996731,41744,26.0901630635191,24977,15.610722567016,-19.8868329159803,-44.0839651866128
"9","Esmeraldas",1616,"MG","60271","342774","11","3124104",33345,2.44719935299117,16486,49.4406957564852,5032,15.090718248613,8110,24.3214874793822,3717,11.1470985155196,33497,2.47959884640211,16570,49.4671164581903,5021,14.9894020360032,8134,24.2827715914858,3772,11.2607099143207,-19.732827612627,-44.3077766759354
"10","Florestal",1635,"MG","6600","54388","11","3126000",2866,0.210336582566282,383,13.3635729239358,369,12.8750872295883,1137,39.6720167480809,977,34.089323098395,2874,0.212746427577385,377,13.1176061238692,368,12.8044537230341,1151,40.0487125956855,978,34.0292275574113,-19.8687055787519,-44.442603991762
"11","Ibirité",1683,"MG","158954","1264788","11","3129806",67672,4.96646797467741,25301,37.3876935808015,12222,18.0606454663672,21537,31.8255703983922,8612,12.7260905544391,68346,5.05927882366178,25399,37.1623796564539,12302,17.9995903198432,21881,32.01504111433,8764,12.8229889093729,-20.023152788853,-44.0681753660929
"12","Igarapé",1687,"MG","34851","412552","11","3130101",14314,1.05050866812762,7312,51.0828559452284,2269,15.8516138046668,3009,21.021377672209,1724,12.0441525778958,14402,1.06610092204924,7326,50.8679350090265,2281,15.838078044716,3034,21.0665185390918,1761,12.2274684071657,-20.0585388820137,-44.3215924418883
"13","Itaguara",1711,"MG","12372","117638","11","3132206",1792,0.131515406824417,505,28.1808035714286,156,8.70535714285714,528,29.4642857142857,603,33.6495535714286,4641,0.34354772803989,1293,27.8603749191984,504,10.8597285067873,1654,35.6388709329886,1190,25.6410256410256,-20.3716558702965,-44.5319229322252
"14","Itatiaiuçu",1726,"MG","9928","535608","11","3133709",4236,0.310881285328253,1566,36.9688385269122,545,12.8659112370161,1570,37.0632672332389,555,13.1019830028329,4261,0.31541841611247,1545,36.259094109364,559,13.1189861534851,1593,37.3855902370336,564,13.2363295001173,-20.2092331296932,-44.4533627585092
"15","Jaboticatubas",1736,"MG","17134","108530","11","3134608",6035,0.442910424210577,2326,38.5418392709196,1187,19.6685998342999,1804,29.8922949461475,718,11.897265948633,6100,0.45154948094017,2335,38.2786885245902,1183,19.3934426229508,1852,30.3606557377049,730,11.9672131147541,-19.4405702759099,-43.7182223012897
"16","Juatuba",1763,"MG","22202","879187","11","3136652",13442,0.986512331771099,7140,53.1170956702872,1205,8.96443981550365,3298,24.5350394286565,1799,13.3834250855527,13532,1.00169960263646,7160,52.9116169080698,1193,8.81613952113509,3360,24.8300325155188,1819,13.4422110552764,-19.9561211391218,-44.3545148196236
