;nome;id;uf;populacao;pib;estado_id;codigo_ibg;Total_Julho;Extrema_Pobreza...3;Pobreza...4;Baixa_renda...5;Acima_de_1/2_min...6;Total_Agosto;Extrema_Pobreza...8;Pobreza...9;Baixa_renda...10;Acima_de_1/2_min...11;long;lat
1;Baldim;1400;MG;7913;67482;11;3105004;1413;580;178;324;331;1422;583;178;324;337;-43.863;-19.263
2;Belo Horizonte;1411;MG;2375151;51661760;11;3106200;190262;73665;17191;49962;49444;193250;75292;17285;50636;50037;-43.959;-19.902
3;Betim;1417;MG;378089;28297360;11;3106705;61069;35827;4555;11315;9372;61680;36174;4601;11399;9506;-44.199;-19.947
4;Brumadinho;1442;MG;33973;1419553;11;3109006;4028;1246;425;1138;1219;4033;1239;425;1148;1221;-44.123;-20.177
5;Caeté;1455;MG;40750;291204;11;3110004;3954;1168;700;1029;1057;3977;1183;702;1031;1061;-43.637;-19.867
6;Capim Branco;1482;MG;8881;71611;11;3112505;1211;380;181;379;271;1226;381;179;388;278;-44.168;-19.570
7;Confins;1543;MG;5936;1424974;11;3117876;856;297;94;276;189;868;297;99;282;190;-43.974;-19.642
8;Contagem;1551;MG;603442;18539693;11;3118601;64289;29104;6368;14356;14461;65253;29535;6402;14576;14740;-44.083;-19.886
9;Esmeraldas;1616;MG;60271;342774;11;3124104;12523;5785;1717;2741;2280;12588;5819;1715;2744;2310;-44.307;-19.732
10;Florestal;1635;MG;6600;54388;11;3126000;1207;125;113;465;504;1215;123;112;475;505;-44.442;-19.868
11;Ibirité;1683;MG;158954;1264788;11;3129806;25346;9327;3973;7161;4885;25650;9391;4013;7281;4965;-44.068;-20.023
12;Igarapé;1687;MG;34851;412552;11;3130101;5416;2556;718;1053;1089;5468;2570;722;1062;1114;-44.321;-20.058
13;Itaguara;1711;MG;12372;117638;11;3132206;1792;505;156;528;603;1807;510;157;534;606;-44.531;-20.371
14;Itatiaiuçu;1726;MG;9928;535608;11;3133709;1567;594;172;512;289;1580;589;176;521;294;-44.453;-20.209
15;Jaboticatubas;1736;MG;17134;108530;11;3134608;2169;793;339;586;451;2200;795;340;607;458;-43.718;-19.440
16;Juatuba;1763;MG;22202;879187;11;3136652;5185;2669;382;1091;1043;5239;2685;382;1112;1060;-44.354;-19.956
17;Lagoa Santa;1775;MG;52520;846448;11;3137601;5797;2137;792;1557;1311;5848;2158;797;1579;1314;-43.885;-19.627
18;Mário Campos;1807;MG;13192;85153;11;3140159;2039;898;180;496;465;2053;902;176;510;465;-44.175;-20.076
19;Mateus Leme;1815;MG;27856;415329;11;3140704;4930;1772;727;1401;1030;4973;1798;724;1410;1041;-44.437;-20.027
20;Matozinhos;1821;MG;33955;651035;11;3141108;5139;2329;470;1399;941;5193;2340;478;1415;960;-44.051;-19.523
21;Nova Lima;1865;MG;80998;4163071;11;3144805;7663;2326;901;2564;1872;7798;2364;908;2609;1917;-43.903;-20.074
22;Nova União;1871;MG;5555;47484;11;3136603;990;520;73;211;186;1007;529;75;216;187;-43.572;-19.635
23;Pedro Leopoldo;1922;MG;58740;1050218;11;3149309;5793;1846;707;1868;1372;5871;1875;720;1885;1391;-44.053;-19.640
24;Raposos;1973;MG;15342;73718;11;3153905;1191;503;124;338;226;1196;506;124;338;228;-43.783;-19.981
25;Ribeirão das Neves;1982;MG;296317;1926219;11;3154606;40450;19355;4332;9799;6964;40919;19600;4351;9905;7063;-44.071;-19.779
26;Rio Acima;1984;MG;9090;101068;11;3154804;1164;283;142;414;325;1177;293;142;416;326;-43.772;-20.106
27;Rio Manso;1989;MG;5276;42694;11;3155306;631;274;108;123;126;632;273;111;123;125;-44.345;-20.267
28;Sabará;2004;MG;126269;1477868;11;3156700;14337;5115;2010;3865;3347;14543;5171;2031;3948;3393;-43.779;-19.851
29;Santa Luzia;2020;MG;202942;2099191;11;3157807;31626;18361;1378;6711;5176;31907;18463;1398;6806;5240;-43.836;-19.744
30;São Joaquim de Bicas;2084;MG;25537;364420;11;3162922;5381;2745;551;1030;1055;5516;2784;562;1064;1106;-44.248;-20.070
31;São José da Lapa;2086;MG;19799;318046;11;3162955;3436;1975;146;687;628;3466;1988;147;694;637;-43.990;-19.696
32;Sarzedo;2115;MG;25814;331113;11;3165537;4548;1349;441;1509;1249;4584;1363;444;1519;1258;-44.121;-20.059
33;Taquaraçu de Minas;2148;MG;3794;37625;11;3168309;838;413;73;181;171;854;410;75;191;178;-43.685;-19.633
34;Vespasiano;2189;MG;104527;1314176;11;3171204;16729;8863;1038;3795;3033;17101;9049;1057;3877;3118;-43.944;-19.731
